loja_origem;loja_destino;prazo;segmento;sku;descricao;quantidade
35303139.0012.41;35303139.0004.31;2025-09-22;ADULTO FEMININO;1.P0022.P.0AZ190;TOP MOVE SENSE.DROP;2
35303139.0012.41;35303139.0004.31;2025-09-22;ADULTO FEMININO;1.P0063.M.00PT05;TOP CURVE LIVE.BLACK / WHITE;3
35303139.0012.41;35303139.0004.31;2025-09-22;ADULTO FEMININO;1.P0100.G.0AZ190;LEGGING LIVE ICON.DROP;1
35303139.0012.41;35303139.0004.31;2025-09-22;ADULTO FEMININO;1.P1154.G.00PT13;REGATA LIVE COMFORT.ONYX;2
35303139.0012.41;35303139.0004.31;2025-09-22;ADULTO FEMININO;1.P1154.G.0AZ190;REGATA LIVE COMFORT.DROP;4
35303139.0012.41;35303139.0004.31;2025-09-22;ADULTO FEMININO;1.P1210.M.00PT02;REGATA BREATH BACK COMFORT.ECLIPSE;1
35303139.0012.41;35303139.0004.31;2025-09-22;ADULTO FEMININO;1.P1225.P.0AZ190;SHORTS ICON NEO.DROP;1
35303139.0012.41;35303139.0004.31;2025-09-22;ADULTO FEMININO;1.P1299.G.00PT13;TOP LIVE ICON.ONYX;1
35303139.0012.41;35303139.0004.31;2025-09-22;ADULTO FEMININO;1.P1347.G.00PT02;LEGGING INTENSE RACE PRO.ECLIPSE;2
35303139.0012.41;35303139.0004.31;2025-09-22;ADULTO FEMININO;1.P1398.P.00PT01;CAMISETA BREATH BACK COMFORT.NOIR BLACK;1
35303139.0012.41;35303139.0004.31;2025-09-22;ADULTO FEMININO;1.P1410.G.00PT01;MACAQUINHO BM ALLURE ADAPTIV.NOIR BLACK;1
35303139.0012.41;35303139.0004.31;2025-09-22;ADULTO FEMININO;1.P1434.G.00PT01;TOP CURVE SENSE.NOIR BLACK;1
35303139.0012.41;35303139.0004.31;2025-09-22;ADULTO FEMININO;1.P1437.G.00PT05;MACAQUINHO SHORTS LIVE.BLACK / WHITE;1
35303139.0012.41;35303139.0004.31;2025-09-22;ADULTO FEMININO;1.P5165.G.00BC01;CAMISETA ACTION.WHITE;1
35303139.0012.41;35303139.0004.31;2025-09-22;ADULTO FEMININO;1.P5165.M.00BC01;CAMISETA ACTION.WHITE;2
35303139.0012.41;35303139.0040.03;2025-09-30;ADULTO FEMININO;1.P0083.P.00BC01;REGATA EFFECT TEXTURE RUN.WHITE;1
35303139.0012.41;35303139.0040.03;2025-09-30;ADULTO FEMININO;1.P0139.M.0AZ190;MACAQUINHO SHORTS ALLURE.DROP;2
35303139.0012.41;35303139.0040.03;2025-09-30;ADULTO FEMININO;1.P0141.G.00BC01;CAMISETA ACTION SIDE.WHITE;3
35303139.0012.41;35303139.0040.03;2025-09-30;ADULTO FEMININO;1.P1015.G.00PT02;CAMISETA BASIC COMFORT.ECLIPSE;1
35303139.0012.41;35303139.0040.03;2025-09-30;ADULTO FEMININO;1.P1015.GG.00BC02;CAMISETA BASIC COMFORT.MERGED ICE;1
35303139.0012.41;35303139.0040.03;2025-09-30;ADULTO FEMININO;1.P1154.G.00PT13;REGATA LIVE COMFORT.ONYX;1
35303139.0012.41;35303139.0040.03;2025-09-30;ADULTO FEMININO;1.P1191.M.00PT01;CALCINHA FIO BASICA SEAMLESS.NOIR BLACK;1
35303139.0012.41;35303139.0040.03;2025-09-30;ADULTO FEMININO;1.P1210.P.00BC01;REGATA BREATH BACK COMFORT.WHITE;3
35303139.0012.41;35303139.0040.03;2025-09-30;ADULTO FEMININO;1.P1225.M.00PT13;SHORTS ICON NEO.ONYX;1
35303139.0012.41;35303139.0040.03;2025-09-30;ADULTO FEMININO;1.P1225.P.0AZ190;SHORTS ICON NEO.DROP;1
35303139.0012.41;35303139.0040.03;2025-09-30;ADULTO FEMININO;1.P1299.M.0AZ190;TOP LIVE ICON.DROP;1
35303139.0012.41;35303139.0040.03;2025-09-30;ADULTO FEMININO;1.P1347.G.00PT02;LEGGING INTENSE RACE PRO.ECLIPSE;1
35303139.0012.41;35303139.0040.03;2025-09-30;ADULTO FEMININO;1.P1350.P.00PT02;TOP INTENSE RACE PRO.ECLIPSE;1
35303139.0012.41;35303139.0040.03;2025-09-30;ADULTO FEMININO;1.P1398.P.00PT01;CAMISETA BREATH BACK COMFORT.NOIR BLACK;1
35303139.0012.41;35303139.0040.03;2025-09-30;ADULTO FEMININO;1.P1434.G.00BC01;TOP CURVE SENSE.WHITE;1
35303139.0012.41;35303139.0040.03;2025-09-30;ADULTO FEMININO;1.P5165.M.00BC01;CAMISETA ACTION.WHITE;1
35303139.0012.41;35303139.0043.48;2025-09-30;ADULTO FEMININO;1.P0083.P.00BC01;REGATA EFFECT TEXTURE RUN.WHITE;2
35303139.0012.41;35303139.0043.48;2025-09-30;ADULTO FEMININO;1.P1015.M.0AZ190;CAMISETA BASIC COMFORT.DROP;3
35303139.0012.41;35303139.0043.48;2025-09-30;ADULTO FEMININO;1.P1154.M.0AZ190;REGATA LIVE COMFORT.DROP;1
35303139.0012.41;35303139.0043.48;2025-09-30;ADULTO FEMININO;1.P1191.M.00PT01;CALCINHA FIO BASICA SEAMLESS.NOIR BLACK;1
35303139.0012.41;35303139.0043.48;2025-09-30;ADULTO FEMININO;1.P1350.P.00PT02;TOP INTENSE RACE PRO.ECLIPSE;1
35303139.0012.41;35303139.0043.48;2025-09-30;ADULTO FEMININO;1.P1434.G.00BC01;TOP CURVE SENSE.WHITE;5
35303139.0012.41;35303139.0043.48;2025-09-30;ADULTO FEMININO;1.P5165.M.00BC01;CAMISETA ACTION.WHITE;1
35303139.0012.41;35303139.0052.39;2025-09-30;ADULTO FEMININO;1.P0083.G.00BC01;REGATA EFFECT TEXTURE RUN.WHITE;1
35303139.0012.41;35303139.0052.39;2025-09-30;ADULTO FEMININO;1.P0149.G.0AZ190;CALCA FUSO ALLURE ADAPTIV.DROP;1
35303139.0012.41;35303139.0052.39;2025-09-30;ADULTO FEMININO;1.P1015.M.0AZ190;CAMISETA BASIC COMFORT.DROP;4
35303139.0012.41;35303139.0052.39;2025-09-30;ADULTO FEMININO;1.P1151.P.00PT13;SHORTS FIT LIVE ICON.ONYX;1
35303139.0012.41;35303139.0052.39;2025-09-30;ADULTO FEMININO;1.P1154.G.0AZ190;REGATA LIVE COMFORT.DROP;1
35303139.0012.41;35303139.0052.39;2025-09-30;ADULTO FEMININO;1.P1154.M.0AZ190;REGATA LIVE COMFORT.DROP;2
35303139.0012.41;35303139.0052.39;2025-09-30;ADULTO FEMININO;1.P1191.M.00PT01;CALCINHA FIO BASICA SEAMLESS.NOIR BLACK;2
35303139.0012.41;35303139.0052.39;2025-09-30;ADULTO FEMININO;1.P1210.G.00BC01;REGATA BREATH BACK COMFORT.WHITE;1
35303139.0012.41;35303139.0052.39;2025-09-30;ADULTO FEMININO;1.P1210.GG.0AZ190;REGATA BREATH BACK COMFORT.DROP;1
35303139.0012.41;35303139.0052.39;2025-09-30;ADULTO FEMININO;1.P1210.M.00BC01;REGATA BREATH BACK COMFORT.WHITE;1
35303139.0012.41;35303139.0052.39;2025-09-30;ADULTO FEMININO;1.P1314.P.00BC01;TOP ICON NEO HYDEFIT ADAPTIV.WHITE;2
35303139.0012.41;35303139.0052.39;2025-09-30;ADULTO FEMININO;1.P1347.G.00PT02;LEGGING INTENSE RACE PRO.ECLIPSE;1
35303139.0012.41;35303139.0052.39;2025-09-30;ADULTO FEMININO;1.P1434.G.00BC01;TOP CURVE SENSE.WHITE;1
35303139.0012.41;35303139.0052.39;2025-09-30;ADULTO FEMININO;1.P1434.PP.00PT01;TOP CURVE SENSE.NOIR BLACK;1
35303139.0012.41;35303139.0052.39;2025-09-30;ADULTO FEMININO;1.P5165.M.00BC01;CAMISETA ACTION.WHITE;1
35303139.0012.41;35303139.0039.61;2025-09-22;ADULTO FEMININO;1.P0063.M.00PT05;TOP CURVE LIVE.BLACK / WHITE;1
35303139.0012.41;35303139.0039.61;2025-09-22;ADULTO FEMININO;1.P0100.M.0AZ190;LEGGING LIVE ICON.DROP;5
35303139.0012.41;35303139.0039.61;2025-09-22;ADULTO FEMININO;1.P0139.G.00BC01;MACAQUINHO SHORTS ALLURE.WHITE;2
35303139.0012.41;35303139.0039.61;2025-09-22;ADULTO FEMININO;1.P0149.M.0AZ190;CALCA FUSO ALLURE ADAPTIV.DROP;1
35303139.0012.41;35303139.0039.61;2025-09-22;ADULTO FEMININO;1.P0149.P.0AZ190;CALCA FUSO ALLURE ADAPTIV.DROP;1
35303139.0012.41;35303139.0039.61;2025-09-22;ADULTO FEMININO;1.P1015.G.00PT02;CAMISETA BASIC COMFORT.ECLIPSE;1
